iter	Passed	Remaining
462	774	897
463	775	895
464	777	894
465	778	891
466	779	889
467	781	887
468	782	885
469	783	883
470	784	881
471	786	879
472	787	877
473	788	875
474	790	873
475	791	871
476	793	870
477	795	868
478	796	866
479	797	864
480	799	862
481	800	860
482	801	858
483	802	856
484	804	853
485	805	851
486	806	850
487	808	848
488	809	846
489	810	843
490	812	841
491	813	839
492	814	837
493	816	835
494	817	833
495	818	831
496	820	830
497	821	828
498	823	826
499	824	824
500	825	822
501	826	820
502	828	818
503	829	816
504	830	814
505	832	812
506	833	810
507	834	808
508	835	806
509	837	804
510	838	802
511	839	800
512	841	798
513	842	796
514	843	794
515	845	792
516	846	790
517	847	788
518	848	786
519	850	784
520	851	782
521	852	780
522	854	779
523	855	777
524	856	775
525	857	773
526	859	771
527	860	769
528	861	767
529	863	765
530	864	763
531	865	761
532	867	759
533	868	757
534	869	755
535	871	754
536	872	751
537	873	750
538	874	748
539	876	746
540	877	744
541	878	742
542	879	740
543	881	738
544	882	736
545	883	734
546	885	732
547	886	731
548	887	729
549	888	727
550	890	725
551	891	723
552	892	721
553	894	719
554	895	718
555	896	716
556	898	714
557	899	712
558	900	710
559	902	708
560	903	706
561	904	704
562	905	703
563	906	701
564	908	699
565	909	697
566	910	695
567	912	693
568	913	691
569	914	690
570	915	688
571	917	686
572	918	684
573	919	682
574	921	680
575	922	679
576	923	677
577	925	675
578	926	673
579	927	671
580	929	669
581	930	668
582	931	666
583	932	664
584	934	662
585	936	661
586	937	659
587	939	658
588	940	656
589	942	654
590	943	652
591	944	651
592	945	649
593	947	647
594	948	645
595	949	643
596	950	641
597	952	640
598	953	638
599	954	636
600	956	634
601	957	632
602	958	631
603	959	629
604	961	627
605	962	625
606	963	624
607	965	622
608	966	620
609	967	618
610	969	617
611	970	615
612	972	613
613	973	612
614	975	610
615	976	608
616	977	606
617	979	605
618	980	603
619	981	601
620	983	600
621	984	598
622	986	596
623	987	595
624	989	593
625	990	592
626	992	590
627	994	588
628	995	587
629	997	585
630	998	584
631	1000	582
632	1001	580
633	1003	579
634	1005	577
635	1006	576
636	1007	574
637	1009	572
638	1010	570
639	1011	569
640	1013	567
641	1014	565
642	1015	563
643	1017	562
644	1018	560
645	1019	558
646	1021	557
647	1022	555
648	1023	553
649	1025	551
650	1026	550
651	1027	548
652	1028	546
653	1030	545
654	1032	543
655	1034	542
656	1035	540
657	1037	539
658	1038	537
659	1040	536
660	1042	534
661	1044	533
662	1046	531
663	1047	530
664	1049	528
665	1051	527
666	1053	525
667	1055	524
668	1057	523
669	1059	521
670	1061	520
671	1063	518
672	1065	517
673	1067	516
674	1069	514
675	1071	513
676	1073	512
677	1075	510
678	1077	509
679	1079	508
680	1081	506
681	1083	505
682	1085	503
683	1087	502
684	1089	500
685	1091	499
686	1093	498
687	1095	496
688	1097	495
689	1099	493
690	1100	492
691	1102	490
692	1105	489
693	1106	488
694	1108	486
695	1110	484
696	1112	483
697	1113	481
698	1115	480
699	1117	478
700	1119	477
701	1121	476
702	1123	474
703	1125	473
704	1126	471
705	1128	470
706	1130	468
707	1132	466
708	1134	465
709	1135	463
710	1137	462
711	1139	460
712	1140	459
713	1142	457
714	1143	455
715	1145	454
716	1147	452
717	1148	451
718	1150	449
719	1152	448
720	1154	446
721	1156	445
722	1158	443
723	1159	442
724	1161	440
725	1162	438
726	1164	437
727	1166	435
728	1167	434
729	1169	432
730	1170	430
731	1172	429
732	1174	427
733	1175	426
734	1177	424
735	1178	422
736	1180	421
737	1181	419
738	1183	417
739	1184	416
740	1185	414
741	1187	412
742	1188	411
743	1189	409
744	1191	407
745	1192	406
746	1194	404
747	1196	402
748	1197	401
749	1199	399
750	1200	398
751	1201	396
752	1203	394
753	1204	392
754	1205	391
755	1207	389
756	1208	388
757	1210	386
758	1212	384
759	1213	383
760	1215	381
761	1216	379
762	1217	378
763	1219	376
764	1220	374
765	1221	373
766	1223	371
767	1225	370
768	1227	368
769	1228	366
770	1229	365
771	1231	363
772	1232	362
773	1234	360
774	1236	358
775	1237	357
776	1238	355
777	1240	353
778	1241	352
779	1242	350
780	1244	348
781	1245	347
782	1246	345
783	1248	343
784	1249	342
785	1251	340
786	1253	339
787	1255	337
788	1257	336
789	1259	334
790	1261	333
791	1263	331
792	1265	330
793	1267	328
794	1268	327
795	1270	325
796	1272	324
797	1274	322
798	1276	321
799	1277	319
800	1279	317
801	1282	316
802	1285	315
803	1287	313
804	1288	312
805	1290	310
806	1292	309
807	1294	307
808	1295	305
809	1297	304
810	1299	302
811	1301	301
812	1303	299
813	1305	298
814	1307	296
815	1309	295
816	1311	293
817	1313	292
818	1315	290
819	1317	289
820	1319	287
821	1320	285
822	1322	284
823	1323	282
824	1325	281
825	1326	279
826	1328	277
827	1329	276
828	1331	274
829	1332	272
830	1334	271
831	1335	269
832	1336	268
833	1338	266
834	1340	264
835	1341	263
836	1343	261
837	1344	259
838	1346	258
839	1347	256
840	1349	255
841	1350	253
842	1352	251
843	1353	250
844	1355	248
845	1356	246
846	1357	245
847	1359	243
