Models,ACCURACY,PRECISION,RECALL,F1_SCORE
DT,88.04902962206333,94.05737704918032,83.91224862888483,88.69565217391305
RF,87.94688457609806,93.68635437881873,84.09506398537478,88.6319845857418
GB,88.1511746680286,95.94882729211088,82.26691042047533,88.58267716535433
XGB,88.55975485188968,95.9830866807611,82.9981718464351,89.01960784313725
CB,88.66189989785495,97.18614718614718,82.08409506398537,88.9990089197225
HGB,88.1511746680286,95.17819706498952,82.9981718464351,88.671875
