iter	Logloss
0	0.6737355339
1	0.6570195998
2	0.6395782058
3	0.6232212161
4	0.6086046255
5	0.5958519779
6	0.5831290222
7	0.5714085361
8	0.5591752076
9	0.5481023935
10	0.5371140319
11	0.5259063046
12	0.5163496278
13	0.5070756305
14	0.4978231931
15	0.4902080049
16	0.481656102
17	0.4731702579
18	0.4664678147
19	0.4592075481
20	0.4530055843
21	0.4459483018
22	0.4406433462
23	0.4354495286
24	0.4302717405
25	0.424485376
26	0.420147885
27	0.4158012398
28	0.411831381
29	0.4079343372
30	0.4037532126
31	0.3998634737
32	0.3963316806
33	0.3932347499
34	0.390214522
35	0.3869532097
36	0.383589708
37	0.3806388388
38	0.378088833
39	0.3755375452
40	0.372852585
41	0.3701490247
42	0.3676800303
43	0.3652192191
44	0.3631298643
45	0.3606816534
46	0.3587461947
47	0.3572270001
48	0.3545882542
49	0.3524452461
50	0.3508995713
51	0.3488946581
52	0.34663846
53	0.3450090434
54	0.3432740619
55	0.3419107966
56	0.3405041988
57	0.3391029919
58	0.3376345234
59	0.3362387614
60	0.3345084869
61	0.3332554568
62	0.3322080594
63	0.330922446
64	0.3294903005
65	0.3282849467
66	0.3267892774
67	0.3258566082
68	0.3243632181
69	0.3235875671
70	0.3227321492
71	0.3218965803
72	0.3206340742
73	0.3198781049
74	0.3187484924
75	0.3175116518
76	0.3166873833
77	0.3158268696
78	0.3151392998
79	0.3145036535
80	0.3135569807
81	0.3125897649
82	0.3116238629
83	0.3107175646
84	0.3099423795
85	0.309369116
86	0.3084177179
87	0.3077412966
88	0.307595181
89	0.3069210686
90	0.3063229659
91	0.3057408813
92	0.3053698765
93	0.3047923227
94	0.3039808815
95	0.3036190572
96	0.3031737321
97	0.3025444111
98	0.3019686737
99	0.3017487305
100	0.3013862315
101	0.3009651251
102	0.3006666745
103	0.2999655969
104	0.2993294368
105	0.2988585794
106	0.2982908848
107	0.2977156265
108	0.2976252708
109	0.2968534563
110	0.2962316195
111	0.2958148476
112	0.2952895947
113	0.2949425433
114	0.2945592066
115	0.2940486554
116	0.2933868684
117	0.2929721525
118	0.2924880652
119	0.2921679878
120	0.2918295257
121	0.2914234204
122	0.2910432148
123	0.2906974276
124	0.2904593055
125	0.2900620845
126	0.2894897312
127	0.2891589307
128	0.2886426051
129	0.2877418874
130	0.2868720034
131	0.2866002651
132	0.2860263048
133	0.285743195
134	0.2854873663
135	0.285222072
136	0.2846097518
137	0.2843537019
138	0.2840562616
139	0.2837935699
140	0.2835906991
141	0.2833256792
142	0.2828041849
143	0.2824860891
144	0.2821698936
145	0.2818369381
146	0.2814519997
147	0.2812779389
148	0.2809262327
149	0.280632533
150	0.2803236215
151	0.2798837778
152	0.2797259574
153	0.2791583037
154	0.2789253567
155	0.2787100232
156	0.2786521575
157	0.2786240511
158	0.278256055
159	0.2780404423
160	0.2778244431
161	0.277634862
162	0.2773134735
163	0.2771804994
164	0.2769776215
165	0.2768410808
166	0.2766207469
167	0.2764710389
168	0.2760903728
169	0.2759493645
170	0.2755801184
171	0.2753925054
172	0.2751683158
173	0.2749528216
174	0.2746109235
175	0.2743683205
176	0.2737971034
177	0.2735541436
178	0.2731745091
179	0.2728612045
180	0.2725353406
181	0.2723849419
182	0.272266209
183	0.2721860508
184	0.2720058256
185	0.2718657862
186	0.2715553436
187	0.2713964472
188	0.2711188403
189	0.2707958456
190	0.2707426119
191	0.2705300074
192	0.2704245964
193	0.2703487839
194	0.2701565483
195	0.2700452074
196	0.2697100472
197	0.2696941447
198	0.2693944829
199	0.2691461263
200	0.2688379714
201	0.2686394895
202	0.2685649269
203	0.2684354403
204	0.2681721182
205	0.2679296744
206	0.26759108
207	0.2673069051
208	0.2667883871
209	0.2666552079
210	0.2664805037
211	0.2662734619
212	0.2661189376
213	0.2658823735
214	0.2657327713
215	0.2656141181
216	0.2651598299
217	0.2648205092
218	0.2644509625
219	0.2643411225
220	0.2642093266
221	0.2639342328
222	0.2637616256
223	0.2637539846
224	0.2636090777
225	0.2633427832
226	0.2632099766
227	0.2629702789
228	0.262802246
229	0.2626738766
230	0.2623910075
231	0.2623293986
232	0.2622287078
233	0.261991657
234	0.2617347089
235	0.2616993029
236	0.2616087156
237	0.2613858738
238	0.2612882326
239	0.2610499915
240	0.2608351952
241	0.260644153
242	0.2604352316
243	0.2603218393
244	0.2602276295
245	0.2601815452
246	0.2598905889
247	0.2597797819
248	0.2595436378
249	0.2594087276
250	0.2592870303
251	0.2589432664
252	0.2588316188
253	0.2586717706
254	0.2585396142
255	0.2584061432
256	0.2581768398
257	0.2580279173
258	0.2579006418
259	0.2576885255
260	0.2575043846
261	0.2573507439
262	0.2571520409
263	0.256988433
264	0.2569268895
265	0.2567307166
266	0.2566923371
267	0.2565387789
268	0.2564342259
269	0.2562214837
270	0.2561987299
271	0.2561321329
272	0.2559063394
273	0.2557655221
